aa,aar,Afar
ab,abk,Abkhazian
,ace,Achinese
,ach,Acoli
,ada,Adangme
,ady,Adyghe
,aeb,Tunisian Arabic
,afh,Afrihili
af,afr,Afrikaans
,agq,Aghem
,agr,Aguaruna
,ain,Ainu
ak,aka,Akan
,akk,Akkadian
,akz,Alabama
,ale,Aleut
,aln,Gheg Albanian
,alt,Southern Altai
am,amh,Amharic
,ang,Old English
,anp,Angika
ar,ara,Arabic
,arc,Official Aramaic
an,arg,Aragonese
,arn,Mapudungun
,aro,Araona
,arp,Arapaho
,arq,Algerian Arabic
,ars,Najdi Arabic
,arw,Arawak
,ary,Moroccan Arabic
,arz,Egyptian Arabic
,asa,Asu
,ase,American Sign Language
as,asm,Assamese
,ast,Asturian
av,ava,Avaric
ae,ave,Avestan
,avk,Kotava
,awa,Awadhi
,ayc,Southern Aymara
ay,aym,Aymara
az,aze,Azerbaijani
ba,bak,Bashkir
,bal,Baluchi
bm,bam,Bambara
,ban,Balinese
,bar,Bavarian
,bas,Basa
,bax,Bamun
,bbc,Batak Toba
,bbj,Ghomálá'
,bej,Beja
be,bel,Belarusian
,bem,Bemba
bn,ben,Bengali
,ber,Berber
,bew,Betawi
,bez,Bena
,bfd,Bafut
,bfq,Badaga
,bgn,Western Balochi
,bhb,Bhili
,bho,Bhojpuri
,bik,Bikol
,bin,Bini
bi,bis,Bislama
,bjn,Banjar
,bkm,Kom
,bla,Siksika
bo,bod,Tibetan
bs,bos,Bosnian
,bpy,Bishnupriya
,bqi,Bakhtiari
br,bre,Breton
,brh,Brahui
,brx,Bodo
,bss,Akoose
,bua,Buriat
,bug,Buginese
bg,bul,Bulgarian
,bum,Bulu
,byn,Bilin
,byv,Medumba
,cad,Caddo
,car,Galibi Carib
ca,cat,Catalan
,cay,Cayuga
,cch,Atsam
,ccp,Chakma
,ceb,Cebuano
cs,ces,Czech
,cgg,Chiga
ch,cha,Chamorro
,chb,Chibcha
ce,che,Chechen
,chg,Chagatai
,chk,Chuukese
,chm,Mari
,chn,Chinook jargon
,cho,Choctaw
,chp,Chipewyan
,chr,Cherokee
cu,chu,Church Slavic
cv,chv,Chuvash
,chy,Cheyenne
,cic,Chickasaw
,ckb,Central Kurdish
,cmn,Mandarin Chinese
,cop,Coptic
kw,cor,Cornish
co,cos,Corsican
,cps,Capiznon
cr,cre,Cree
,crh,Crimean Tatar
,crs,Seselwa Creole French
,csb,Kashubian
cy,cym,Welsh
,dak,Dakota
da,dan,Danish
,dar,Dargwa
,dav,Taita
,del,Delaware
,den,Slave
de,deu,German
,dgr,Tlicho
,din,Dinka
dv,div,Dhivehi
,dje,Zarma
,doi,Dogri
,dsb,Lower Sorbian
,dtp,Kadazan Dusun
,dua,Duala
,dum,Middle Dutch
,dyo,Jola-Fonyi
,dyu,Dyula
,dzg,Dazaga
dz,dzo,Dzongkha
,ebu,Embu
,efi,Efik
,egl,Emilian
,egy,Egyptian
,eka,Ekajuk
el,ell,Greek
,elx,Elamite
en,eng,English
,enm,Middle English
eo,epo,Esperanto
et,est,Estonian
,esu,Central Yupik
eu,eus,Basque
ee,ewe,Ewe
,ewo,Ewondo
,ext,Extremaduran
,fan,Fang
fo,fao,Faroese
fa,fas,Persian
,fat,Fanti
fj,fij,Fijian
,fil,Filipino
fi,fin,Finnish
,fit,Tornedalen Finnish
,fon,Fon
fr,fra,French
,frc,Cajun French
,frm,Middle French
,fro,Old French
,frp,Arpitan
,frr,Northern Frisian
,frs,Eastern Frisian
fy,fry,Western Frisian
ff,ful,Fulah
,fur,Friulian
,gaa,Ga
,gag,Gagauz
,gan,Gan Chinese
,gay,Gayo
,gba,Gbaya
,gbz,Zoroastrian Dari
,gez,Geez
,gil,Gilbertese
gd,gla,Scottish Gaelic
ga,gle,Irish
gl,glg,Galician
,glk,Gilaki
gv,glv,Manx
,gmh,Middle High German
,goh,Old High German
,gom,Goan Konkani
,gon,Gondi
,gor,Gorontalo
,got,Gothic
,grb,Grebo
,grc,Ancient Greek
gn,grn,Guarani
,gsw,Swiss German
,guc,Wayuu
gu,guj,Gujarati
,gur,Farefare
,guz,Gusii
,gwi,Gwichʼin
,hai,Haida
,hak,Hakka Chinese
ht,hat,Haitian
ha,hau,Hausa
,haw,Hawaiian
sh,hbs,Serbo-Croatian
he,heb,Hebrew
hz,her,Herero
,hif,Fiji Hindi
,hil,Hiligaynon
hi,hin,Hindi
,hit,Hittite
,hmn,Hmong
ho,hmo,Hiri Motu
,hne,Chhattisgarhi
hr,hrv,Croatian
,hsb,Upper Sorbian
,hsn,Xiang Chinese
hu,hun,Hungarian
,hup,Hupa
,hus,Huastec
hy,hye,Armenian
,iba,Iban
,ibb,Ibibio
ig,ibo,Igbo
io,ido,Ido
ii,iii,Sichuan Yi
iu,iku,Inuktitut
ie,ile,Interlingue
,ilo,Iloko
ia,ina,Interlingua
id,ind,Indonesian
,inh,Ingush
ik,ipk,Inupiaq
is,isl,Icelandic
it,ita,Italian
,izh,Ingrian
,jam,Jamaican Creole English
jv,jav,Javanese
,jbo,Lojban
,jgo,Ngomba
,jmc,Machame
ja,jpn,Japanese
,jpr,Judeo-Persian
,jrb,Judeo-Arabic
,jut,Jutish
,kaa,Kara-Kalpak
,kab,Kabyle
,kac,Kachin
,kaj,Jju
kl,kal,Kalaallisut
,kam,Kamba
kn,kan,Kannada
ks,kas,Kashmiri
ka,kat,Georgian
kr,kau,Kanuri
,kaw,Kawi
kk,kaz,Kazakh
,kbd,Kabardian
,kbl,Kanembu
,kcg,Tyap
,kde,Makonde
,kea,Kabuverdianu
,ken,Kenyang
,kfo,Koro
,kgp,Kaingang
,kha,Khasi
