kind,source,target,source_subsystem,target_subsystem
include,animation/animation_state_machine.cpp,animation/animation_state_machine.h,animation,animation
include,animation/animation_state_machine.cpp,logger/gs_logger.h,animation,logger
include,animation/animation_state_machine.cpp,persistence/incremental_saver.h,animation,persistence
include,animation/animation_state_machine.h,animation/keyframe_interpolator.h,animation,animation
include,animation/animation_state_machine.h,persistence/incremental_saver.h,animation,persistence
include,animation/keyframe_interpolator.cpp,animation/keyframe_interpolator.h,animation,animation
include,asset_management/asset_dependency_manager.cpp,asset_management/asset_dependency_manager.h,asset_management,asset_management
include,asset_management/asset_dependency_manager.cpp,logger/gs_logger.h,asset_management,logger
include,asset_management/asset_dependency_manager.h,core/gaussian_splat_asset.h,asset_management,core
include,compute/compute_infrastructure.cpp,compute/compute_infrastructure.h,compute,compute
include,core/gaussian_data.cpp,core/gaussian_data.h,core,core
include,core/gaussian_data.cpp,core/gaussian_splat_asset.h,core,core
include,core/gaussian_data.cpp,core/gs_project_settings.h,core,core
include,core/gaussian_data.cpp,interfaces/sync_policy.h,core,interfaces
include,core/gaussian_data.cpp,io/gaussian_data_loader.h,core,io
include,core/gaussian_data.cpp,logger/gs_logger.h,core,logger
include,core/gaussian_data.cpp,persistence/incremental_saver.h,core,persistence
include,core/gaussian_data.cpp,renderer/gaussian_gpu_layout.h,core,renderer
include,core/gaussian_data.cpp,resources/color_grading_resource.h,core,resources
include,core/gaussian_data.h,animation/animation_state_machine.h,core,animation
include,core/gaussian_data.h,persistence/incremental_saver.h,core,persistence
include,core/gaussian_data.h,resources/color_grading_resource.h,core,resources
include,core/gaussian_data_animation.cpp,core/gaussian_data.h,core,core
include,core/gaussian_data_color_grading.cpp,core/gaussian_data.h,core,core
include,core/gaussian_data_color_grading.cpp,resources/color_grading_resource.h,core,resources
include,core/gaussian_data_edits.cpp,core/gaussian_data.h,core,core
include,core/gaussian_data_gpu.cpp,core/gaussian_data.h,core,core
include,core/gaussian_data_gpu.cpp,interfaces/sync_policy.h,core,interfaces
include,core/gaussian_data_gpu.cpp,renderer/gaussian_gpu_layout.h,core,renderer
include,core/gaussian_data_io.cpp,core/gaussian_data.h,core,core
include,core/gaussian_data_io.cpp,core/gaussian_splat_asset.h,core,core
include,core/gaussian_data_io.cpp,io/gaussian_data_loader.h,core,io
include,core/gaussian_data_io.cpp,logger/gs_logger.h,core,logger
include,core/gaussian_data_octree.cpp,core/gaussian_data.h,core,core
include,core/gaussian_data_octree.cpp,logger/gs_logger.h,core,logger
include,core/gaussian_splat_asset.cpp,core/gaussian_data.h,core,core
include,core/gaussian_splat_asset.cpp,core/gaussian_splat_asset.h,core,core
include,core/gaussian_splat_asset.cpp,io/gaussian_data_loader.h,core,io
include,core/gaussian_splat_asset.cpp,logger/gs_logger.h,core,logger
include,core/gaussian_splat_config_registry.cpp,core/gaussian_splat_config_registry.h,core,core
include,core/gaussian_splat_config_registry.cpp,core/gaussian_splat_settings_manager.h,core,core
include,core/gaussian_splat_config_registry.cpp,lod/lod_config.h,core,lod
include,core/gaussian_splat_config_registry.cpp,renderer/float16_config.h,core,renderer
include,core/gaussian_splat_config_registry.cpp,renderer/gpu_sorting_config.h,core,renderer
include,core/gaussian_splat_config_registry.cpp,renderer/pipeline_feature_set.h,core,renderer
include,core/gaussian_splat_config_registry.cpp,renderer/quantization_config.h,core,renderer
include,core/gaussian_splat_config_registry.cpp,renderer/sh_config.h,core,renderer
include,core/gaussian_splat_manager.cpp,core/gaussian_data.h,core,core
include,core/gaussian_splat_manager.cpp,core/gaussian_splat_manager.h,core,core
include,core/gaussian_splat_manager.cpp,core/gs_project_settings.h,core,core
include,core/gaussian_splat_manager.cpp,interfaces/sync_policy.h,core,interfaces
include,core/gaussian_splat_manager.cpp,logger/gs_logger.h,core,logger
include,core/gaussian_splat_manager.cpp,nodes/gaussian_splat_node_3d.h,core,nodes
include,core/gaussian_splat_manager.h,core/gaussian_data.h,core,core
include,core/gaussian_splat_manager.h,core/gaussian_splat_asset.h,core,core
include,core/gaussian_splat_manager.h,interfaces/render_thread_dispatcher.h,core,interfaces
include,core/gaussian_splat_merge_utils.cpp,core/gaussian_splat_merge_utils.h,core,core
include,core/gaussian_splat_merge_utils.cpp,core/gs_project_settings.h,core,core
include,core/gaussian_splat_merge_utils.cpp,logger/gs_logger.h,core,logger
include,core/gaussian_splat_merge_utils.h,core/gaussian_data.h,core,core
include,core/gaussian_splat_merge_utils.h,core/gaussian_splat_asset.h,core,core
include,core/gaussian_splat_merge_utils.h,renderer/gaussian_splat_renderer.h,core,renderer
include,core/gaussian_splat_scene_director.cpp,core/gaussian_splat_manager.h,core,core
include,core/gaussian_splat_scene_director.cpp,core/gaussian_splat_scene_director.h,core,core
include,core/gaussian_splat_scene_director.cpp,logger/gs_debug_trace.h,core,logger
include,core/gaussian_splat_scene_director.cpp,logger/gs_logger.h,core,logger
include,core/gaussian_splat_scene_director.cpp,renderer/gaussian_gpu_layout.h,core,renderer
include,core/gaussian_splat_scene_director.cpp,renderer/render_debug_state_orchestrator.h,core,renderer
include,core/gaussian_splat_scene_director.h,core/gaussian_data.h,core,core
include,core/gaussian_splat_scene_director.h,core/gaussian_splat_asset.h,core,core
include,core/gaussian_splat_scene_director.h,lod/lod_config.h,core,lod
include,core/gaussian_splat_scene_director.h,renderer/gaussian_splat_renderer.h,core,renderer
include,core/gaussian_splat_settings_manager.cpp,core/gaussian_splat_settings_manager.h,core,core
include,core/gaussian_splat_settings_manager.cpp,core/gs_project_settings.h,core,core
include,core/gaussian_splat_world.cpp,core/gaussian_splat_world.h,core,core
include,core/gaussian_splat_world.h,core/gaussian_data.h,core,core
include,core/gaussian_splat_world.h,renderer/gaussian_splat_renderer.h,core,renderer
include,core/gaussian_streaming.cpp,core/gaussian_splat_manager.h,core,core
include,core/gaussian_streaming.cpp,core/gaussian_streaming.h,core,core
include,core/gaussian_streaming.cpp,core/gs_project_settings.h,core,core
include,core/gaussian_streaming.cpp,core/residency_budget_controller.h,core,core
include,core/gaussian_streaming.cpp,core/streaming_queue_pressure_controller.h,core,core
include,core/gaussian_streaming.cpp,core/streaming_telemetry_adapter.h,core,core
include,core/gaussian_streaming.cpp,interfaces/sync_policy.h,core,interfaces
include,core/gaussian_streaming.cpp,lod/lod_config.h,core,lod
include,core/gaussian_streaming.cpp,logger/gs_debug_trace.h,core,logger
include,core/gaussian_streaming.cpp,logger/gs_logger.h,core,logger
include,core/gaussian_streaming.cpp,renderer/gaussian_gpu_layout.h,core,renderer
include,core/gaussian_streaming.cpp,renderer/gpu_debug_utils.h,core,renderer
include,core/gaussian_streaming.cpp,renderer/gpu_memory_stream.h,core,renderer
include,core/gaussian_streaming.cpp,renderer/quantization_config.h,core,renderer
include,core/gaussian_streaming.h,core/gaussian_data.h,core,core
include,core/gaussian_streaming.h,core/gaussian_splat_manager.h,core,core
include,core/gaussian_streaming.h,core/streaming_asset_types.h,core,core
include,core/gaussian_streaming.h,core/streaming_atlas.h,core,core
include,core/gaussian_streaming.h,core/streaming_config_overrides.h,core,core
include,core/gaussian_streaming.h,core/streaming_eviction_controller.h,core,core
include,core/gaussian_streaming.h,core/streaming_global_atlas_registry.h,core,core
include,core/gaussian_streaming.h,core/streaming_quantization.h,core,core
include,core/gaussian_streaming.h,core/streaming_runtime_state.h,core,core
include,core/gaussian_streaming.h,core/streaming_upload_pipeline.h,core,core
include,core/gaussian_streaming.h,core/streaming_visibility_controller.h,core,core
include,core/gaussian_streaming.h,core/streaming_vram_regulator.h,core,core
include,core/painterly_manager.cpp,core/painterly_manager.h,core,core
include,core/painterly_manager.h,core/gaussian_data.h,core,core
include,core/performance_monitors.cpp,core/performance_monitors.h,core,core
include,core/performance_monitors.cpp,renderer/gaussian_gpu_layout.h,core,renderer
include,core/performance_monitors.cpp,renderer/gaussian_splat_renderer.h,core,renderer
include,core/performance_monitors.cpp,renderer/tile_renderer.h,core,renderer
include,core/quality_tier_config.cpp,core/quality_tier_config.h,core,core
include,core/residency_budget_controller.cpp,core/residency_budget_controller.h,core,core
include,core/streaming_asset_types.h,core/gaussian_data.h,core,core
include,core/streaming_asset_types.h,core/streaming_quantization.h,core,core
include,core/streaming_atlas.cpp,core/gaussian_streaming.h,core,core
include,core/streaming_atlas.cpp,core/streaming_atlas.h,core,core
include,core/streaming_atlas.cpp,logger/gs_debug_trace.h,core,logger
include,core/streaming_config_overrides.h,core/streaming_vram_regulator.h,core,core
include,core/streaming_config_overrides.h,lod/lod_config.h,core,lod
include,core/streaming_eviction_controller.cpp,core/gaussian_streaming.h,core,core
include,core/streaming_eviction_controller.cpp,core/gs_project_settings.h,core,core
include,core/streaming_eviction_controller.cpp,core/streaming_eviction_controller.h,core,core
include,core/streaming_eviction_controller.cpp,logger/gs_logger.h,core,logger
include,core/streaming_global_atlas_registry.cpp,core/gaussian_streaming.h,core,core
include,core/streaming_global_atlas_registry.cpp,core/streaming_global_atlas_registry.h,core,core
include,core/streaming_global_atlas_registry.cpp,logger/gs_logger.h,core,logger
include,core/streaming_global_atlas_registry.h,renderer/gaussian_gpu_layout.h,core,renderer
include,core/streaming_lod_policy.cpp,core/gaussian_streaming.h,core,core
include,core/streaming_lod_policy.cpp,lod/lod_config.h,core,lod
include,core/streaming_quantization.cpp,core/gaussian_streaming.h,core,core
include,core/streaming_quantization.cpp,logger/gs_logger.h,core,logger
include,core/streaming_quantization.cpp,renderer/quantization_config.h,core,renderer
include,core/streaming_quantization.h,core/gaussian_data.h,core,core
include,core/streaming_queue_pressure_controller.cpp,core/streaming_queue_pressure_controller.h,core,core
include,core/streaming_runtime_state.h,core/streaming_asset_types.h,core,core
include,core/streaming_runtime_state.h,core/streaming_vram_regulator.h,core,core
include,core/streaming_telemetry_adapter.cpp,core/streaming_telemetry_adapter.h,core,core
include,core/streaming_upload_pipeline.cpp,core/gaussian_streaming.h,core,core
include,core/streaming_upload_pipeline.cpp,core/gs_project_settings.h,core,core
include,core/streaming_upload_pipeline.cpp,core/quality_tier_config.h,core,core
include,core/streaming_upload_pipeline.cpp,core/streaming_queue_pressure_controller.h,core,core
include,core/streaming_upload_pipeline.cpp,core/streaming_upload_pipeline.h,core,core
include,core/streaming_upload_pipeline.cpp,interfaces/sync_policy.h,core,interfaces
include,core/streaming_upload_pipeline.cpp,renderer/gpu_debug_utils.h,core,renderer
include,core/streaming_upload_pipeline.h,core/gaussian_data.h,core,core
include,core/streaming_upload_pipeline.h,renderer/gaussian_gpu_layout.h,core,renderer
include,core/streaming_visibility_controller.cpp,core/gaussian_streaming.h,core,core
include,core/streaming_visibility_controller.cpp,core/gs_project_settings.h,core,core
include,core/streaming_visibility_controller.cpp,core/streaming_queue_pressure_controller.h,core,core
include,core/streaming_visibility_controller.cpp,core/streaming_visibility_controller.h,core,core
include,core/streaming_visibility_controller.cpp,lod/lod_config.h,core,lod
include,core/streaming_visibility_controller.cpp,logger/gs_logger.h,core,logger
include,core/streaming_visibility_controller.h,core/streaming_vram_regulator.h,core,core
include,core/streaming_vram_regulator.cpp,core/quality_tier_config.h,core,core
include,core/streaming_vram_regulator.cpp,core/streaming_vram_regulator.h,core,core
include,core/streaming_vram_regulator.cpp,logger/gs_logger.h,core,logger
include,core/streaming_vram_regulator.cpp,renderer/gpu_debug_utils.h,core,renderer
include,editor/gaussian_asset_preview_control.cpp,editor/gaussian_asset_preview_control.h,editor,editor
include,editor/gaussian_asset_preview_control.cpp,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_asset_preview_control.h,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_editor_integration.cpp,editor/gaussian_editor_integration.h,editor,editor
include,editor/gaussian_editor_integration.cpp,editor/gaussian_editor_plugin.h,editor,editor
include,editor/gaussian_editor_plugin.cpp,core/gaussian_data.h,editor,core
include,editor/gaussian_editor_plugin.cpp,editor/gaussian_editor_plugin.h,editor,editor
include,editor/gaussian_editor_plugin.cpp,editor/gaussian_editor_services.h,editor,editor
include,editor/gaussian_editor_plugin.cpp,editor/gaussian_resource_preview_generator.h,editor,editor
include,editor/gaussian_editor_plugin.cpp,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_editor_plugin.cpp,logger/gs_logger.h,editor,logger
include,editor/gaussian_editor_plugin.cpp,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_editor_plugin.h,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_editor_plugin.h,editor/gaussian_editor_integration.h,editor,editor
include,editor/gaussian_editor_plugin.h,editor/gaussian_import_dialog.h,editor,editor
include,editor/gaussian_editor_plugin.h,editor/gaussian_inspector_plugins.h,editor,editor
include,editor/gaussian_editor_plugin.h,editor/gaussian_splat_gizmo_plugin.h,editor,editor
include,editor/gaussian_editor_plugin.h,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_editor_plugin.h,renderer/gaussian_splat_renderer.h,editor,renderer
include,editor/gaussian_editor_services.cpp,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_editor_services.cpp,editor/gaussian_editor_services.h,editor,editor
include,editor/gaussian_editor_services.cpp,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_editor_services.cpp,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_editor_services.cpp,renderer/gaussian_splat_renderer.h,editor,renderer
include,editor/gaussian_import_dialog.cpp,core/gaussian_data.h,editor,core
include,editor/gaussian_import_dialog.cpp,editor/gaussian_import_dialog.h,editor,editor
include,editor/gaussian_import_dialog.cpp,io/ply_loader.h,editor,io
include,editor/gaussian_import_dialog.cpp,io/spz_loader.h,editor,io
include,editor/gaussian_import_dialog.h,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_import_dialog.h,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_import_dialog.h,io/gaussian_import_preset.h,editor,io
include,editor/gaussian_inspector_plugins.cpp,core/gaussian_data.h,editor,core
include,editor/gaussian_inspector_plugins.cpp,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_inspector_plugins.cpp,editor/gaussian_asset_preview_control.h,editor,editor
include,editor/gaussian_inspector_plugins.cpp,editor/gaussian_editor_plugin.h,editor,editor
include,editor/gaussian_inspector_plugins.cpp,editor/gaussian_editor_services.h,editor,editor
include,editor/gaussian_inspector_plugins.cpp,editor/gaussian_inspector_plugins.h,editor,editor
include,editor/gaussian_inspector_plugins.cpp,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_inspector_plugins.cpp,renderer/gaussian_splat_renderer.h,editor,renderer
include,editor/gaussian_inspector_plugins.cpp,resources/color_grading_resource.h,editor,resources
include,editor/gaussian_inspector_plugins.h,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_resource_preview_generator.cpp,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_resource_preview_generator.cpp,editor/gaussian_resource_preview_generator.h,editor,editor
include,editor/gaussian_resource_preview_generator.cpp,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_splat_gizmo_plugin.cpp,editor/gaussian_splat_gizmo_plugin.h,editor,editor
include,editor/gaussian_splat_gizmo_plugin.cpp,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_splat_gizmo_plugin.h,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_thumbnail_generator.cpp,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_thumbnail_generator.h,core/gaussian_splat_asset.h,editor,core
include,interfaces/cluster_culler.cpp,compute/compute_infrastructure.h,interfaces,compute
include,interfaces/cluster_culler.cpp,core/gaussian_splat_manager.h,interfaces,core
include,interfaces/cluster_culler.cpp,interfaces/cluster_culler.h,interfaces,interfaces
include,interfaces/cluster_culler.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/cluster_culler.cpp,renderer/pipeline_io_contracts.h,interfaces,renderer
include,interfaces/cluster_culler.h,interfaces/culler_interfaces.h,interfaces,interfaces
include,interfaces/cluster_culler.h,lod/cluster_builder.h,interfaces,lod
include,interfaces/debug_overlay_system.cpp,core/gaussian_splat_manager.h,interfaces,core
include,interfaces/debug_overlay_system.cpp,interfaces/debug_overlay_macros.h,interfaces,interfaces
include,interfaces/debug_overlay_system.cpp,interfaces/debug_overlay_system.h,interfaces,interfaces
include,interfaces/debug_overlay_system.cpp,interfaces/gpu_sorting_pipeline.h,interfaces,interfaces
include,interfaces/debug_overlay_system.cpp,renderer/gaussian_splat_renderer.h,interfaces,renderer
include,interfaces/debug_overlay_system.h,interfaces/debug_overlay_interfaces.h,interfaces,interfaces
include,interfaces/gpu_culler.cpp,core/gaussian_data.h,interfaces,core
include,interfaces/gpu_culler.cpp,core/gaussian_splat_manager.h,interfaces,core
include,interfaces/gpu_culler.cpp,core/gs_project_settings.h,interfaces,core
include,interfaces/gpu_culler.cpp,interfaces/gpu_culler.h,interfaces,interfaces
include,interfaces/gpu_culler.cpp,interfaces/overflow_auto_tuner.h,interfaces,interfaces
include,interfaces/gpu_culler.cpp,logger/gs_debug_trace.h,interfaces,logger
include,interfaces/gpu_culler.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/gpu_culler.cpp,renderer/gaussian_gpu_layout.h,interfaces,renderer
include,interfaces/gpu_culler.cpp,renderer/gpu_debug_utils.h,interfaces,renderer
include,interfaces/gpu_culler.h,interfaces/cluster_culler.h,interfaces,interfaces
include,interfaces/gpu_culler.h,interfaces/culler_interfaces.h,interfaces,interfaces
include,interfaces/gpu_culler.h,lod/hierarchical_splat_structure.h,interfaces,lod
include,interfaces/gpu_culler.h,renderer/batched_async_readback.h,interfaces,renderer
include,interfaces/gpu_sorting_pipeline.cpp,compute/compute_infrastructure.h,interfaces,compute
include,interfaces/gpu_sorting_pipeline.cpp,core/gaussian_data.h,interfaces,core
